User_ID,Age,Income_Level,Credit_Score,Investment_Experience,Financial_Knowledge,Risk_Tolerance,Investment_Goals,Time_Horizon,Total_Assets,Total_Liabilities,Number_of_Dependents,Years_of_Investing,Net_Worth,Investment_Strategy
DIYO4DNX80,60,Medium,720,Intermediate,High,High,Income,Medium-term,5057366,2075114,4,20,2982252,Aggressive
SUS0UHBB8T,49,Medium,688,Experienced,Medium,High,Income,Long-term,5047039,2005300,4,24,3041739,Balanced
4WZUOVENXH,27,Low,690,Novice,Medium,Low,Income,Short-term,5087865,1950656,4,37,3137209,Conservative
1NJBKY0EPO,69,Low,683,Experienced,Medium,Low,Income,Medium-term,4724438,1905947,2,6,2818491,Balanced
ARRKHK1KM2,69,Medium,752,Intermediate,Low,Medium,Income,Long-term,5012557,1960081,0,3,3052476,Balanced
80VKNWJVAE,36,Low,670,Novice,Medium,High,Speculation,Long-term,4882013,2043543,1,19,2838470,Balanced
Z4YP57M7VB,41,High,740,Experienced,Low,High,Growth,Short-term,4988529,2001966,1,37,2986563,Balanced
3PUPRNJTPB,37,High,710,Intermediate,Medium,High,Growth,Short-term,4863840,1873300,0,32,2990540,Balanced
FAQXED1KS5,43,High,726,Novice,Medium,Low,Preservation,Long-term,4989959,1917540,4,33,3072419,Balanced
KKOLVICKHY,23,High,696,Intermediate,High,High,Speculation,Short-term,4828384,1962069,3,6,2866315,Aggressive
UJXO33FLZU,43,High,733,Experienced,Low,Low,Income,Medium-term,5088201,2065092,0,4,3023109,Balanced
30VIRL8D0R,63,High,672,Novice,High,Low,Speculation,Long-term,5124638,1898546,3,14,3226092,Balanced
CETIPYC2KG,65,Low,649,Experienced,Low,High,Growth,Short-term,5061478,1981900,4,18,3079578,Balanced
LWL417O7R9,42,Low,719,Experienced,High,Medium,Preservation,Short-term,5090949,2031712,1,13,3059237,Balanced
GDYYA41C1S,69,Low,656,Intermediate,Medium,Low,Income,Medium-term,5029907,2027546,1,39,3002361,Balanced
QA5VDZEL9I,62,High,734,Intermediate,Medium,High,Growth,Long-term,5084016,1784024,0,31,3299992,Balanced
B2EHS5EVNI,44,Medium,616,Experienced,Low,High,Income,Short-term,5009748,1941289,2,17,3068459,Balanced
8ZQ0Y6XS3X,61,High,740,Intermediate,High,Low,Growth,Long-term,4773083,1876556,0,15,2896527,Balanced
2PSK1ZMULI,50,Medium,720,Intermediate,Low,Medium,Preservation,Medium-term,4909561,1933381,2,39,2976180,Balanced
7MK253G0A0,48,High,727,Novice,Medium,Low,Growth,Short-term,4696096,2071889,4,11,2624207,Conservative
INWL8KIKPN,32,Low,656,Experienced,Low,Medium,Income,Medium-term,4999942,2023185,0,15,2976757,Balanced
17I665DH2S,25,Low,681,Intermediate,Medium,Medium,Growth,Medium-term,4977778,2045665,2,29,2932113,Balanced
Z56ES3CMB2,50,High,661,Novice,Medium,Low,Growth,Short-term,4878578,1986513,1,3,2892065,Conservative
S3JPY49S0Z,19,Medium,687,Novice,Medium,Medium,Preservation,Short-term,5009502,1888011,3,10,3121491,Growth
BB9BOFOSVT,65,Low,699,Experienced,Low,High,Income,Long-term,5260089,2034943,3,32,3225146,Balanced
BZRFJSQ7JT,63,High,706,Novice,Medium,High,Income,Long-term,5191852,1840901,1,34,3350951,Balanced
IPG7V6QFZQ,61,High,632,Intermediate,Low,Medium,Preservation,Long-term,4852821,1964606,1,22,2888215,Balanced
B5QT4G4B4V,44,High,671,Novice,Low,Medium,Income,Long-term,5145125,2089201,1,38,3055924,Balanced
74UXR5RQD9,33,High,700,Novice,Low,High,Speculation,Short-term,5147797,1922723,2,4,3225074,Balanced
MQ3IXOMAXJ,22,High,686,Experienced,High,Low,Preservation,Short-term,5083517,2041601,3,14,3041916,Conservative
SYU9CP8CCJ,28,Low,716,Experienced,Medium,Low,Speculation,Medium-term,4951558,1970937,2,38,2980621,Balanced
VDAWOZRS48,39,High,750,Intermediate,Medium,High,Income,Short-term,4664460,1974984,3,34,2689476,Balanced
NDTOZQJGVW,57,Medium,711,Intermediate,High,High,Income,Long-term,5126190,2082761,0,27,3043429,Aggressive
YTU383QFWE,60,High,642,Novice,Low,Medium,Preservation,Long-term,5340786,1922265,0,33,3418521,Balanced
KMLEOOATMX,61,High,716,Experienced,Low,High,Speculation,Short-term,5093724,1811455,3,16,3282269,Balanced
CJKWW7XPM3,48,Medium,740,Intermediate,Low,High,Growth,Short-term,5009951,2113864,0,30,2896087,Balanced
17BCABC5B1,40,Low,746,Novice,Medium,Medium,Income,Short-term,4927746,2134581,3,6,2793165,Balanced
XMV4I44B3I,18,High,775,Intermediate,Low,High,Speculation,Short-term,4848115,1982963,0,6,2865152,Growth-oriented
JE99LF20IA,35,Low,770,Experienced,Medium,Low,Income,Short-term,5048675,2046656,1,24,3002019,Conservative
TL2UVVP8Q5,30,High,662,Experienced,Low,High,Growth,Long-term,5128342,2190870,0,26,2937472,Income
MS6M6C18AA,45,High,769,Experienced,High,Low,Speculation,Medium-term,5135662,2011758,3,29,3123904,Growth-oriented
H1YRP3ZXFZ,61,Low,689,Intermediate,High,High,Growth,Medium-term,4927854,1722495,1,4,3205359,Aggressive
W4BWCPQJ2Z,65,Medium,647,Intermediate,Medium,High,Income,Long-term,5237366,1902451,0,7,3334915,Balanced
2UXD38OBCX,40,Medium,713,Experienced,Low,Low,Preservation,Long-term,4895208,2032929,4,25,2862279,Balanced
GPAQE4G2VQ,49,High,704,Experienced,High,Medium,Speculation,Long-term,5027472,2027537,4,38,2999935,Balanced
Q33C51IY65,52,Medium,711,Experienced,High,High,Income,Medium-term,4954271,2312634,4,26,2641637,Aggressive
L4A429CY9D,52,High,758,Experienced,High,Medium,Income,Medium-term,4755053,2018721,3,2,2736332,Growth-oriented
N01NHKPOM9,60,Low,667,Intermediate,Low,Low,Income,Medium-term,4842731,2092541,4,31,2750190,Balanced
J53KZLVYI9,22,Medium,661,Intermediate,High,Medium,Income,Short-term,4899897,1773595,4,1,3126302,Balanced
CWWX3O9XO8,54,High,716,Experienced,Low,Low,Growth,Medium-term,4879666,1963244,3,15,2916422,Balanced
SQP7LXZTO8,37,High,742,Intermediate,High,Low,Speculation,Long-term,4841723,1912037,1,21,2929686,Balanced
DXGUSXAEAJ,62,Medium,755,Experienced,Medium,High,Income,Medium-term,5055486,2007227,4,13,3048259,Balanced
5BHC2KT4W6,35,Medium,758,Intermediate,High,Medium,Preservation,Short-term,4852388,2239076,1,6,2613312,Balanced
N77GW7RX49,66,Low,747,Novice,High,Medium,Income,Medium-term,5023570,2179945,2,4,2843625,Balanced
PBZ6H2HXZI,65,Medium,658,Intermediate,High,High,Preservation,Short-term,5257719,1987788,2,33,3269931,Aggressive
814K9PCJ1B,24,High,724,Intermediate,High,High,Growth,Long-term,4979103,2004525,1,7,2974578,Aggressive
8BFFCM0T7N,24,Medium,611,Intermediate,High,Low,Speculation,Short-term,4603104,2063430,0,3,2539674,Conservative
EDYT84WZPL,66,Low,663,Novice,Low,High,Preservation,Short-term,5206524,1974866,0,27,3231658,Balanced
O4EO9F28DI,27,Low,617,Novice,Medium,Medium,Preservation,Short-term,4757607,2161675,4,23,2595932,Balanced
RD8I2L7Z3G,46,Low,706,Experienced,Medium,Low,Speculation,Long-term,4998782,2014639,2,13,2984143,Balanced
XN202QSZUY,31,Low,722,Intermediate,Low,High,Preservation,Short-term,5064391,2136158,2,19,2928233,Balanced
A0M6GQ15QY,27,Low,699,Experienced,Low,Medium,Speculation,Long-term,4969636,1939515,3,27,3030121,Balanced
KPMTROVA1N,39,Low,733,Intermediate,High,Low,Growth,Medium-term,4863910,1996860,3,30,2867050,Balanced
MXWR9ZDP9H,20,Medium,731,Intermediate,High,High,Income,Short-term,4960180,2162571,4,27,2797609,Aggressive
JKMMU8FZ6X,27,Medium,717,Intermediate,Low,High,Speculation,Long-term,5143694,1984955,3,31,3158739,Balanced
ZT4FN6BYK0,64,Low,711,Experienced,Medium,High,Speculation,Long-term,5025103,1990512,0,31,3034591,Balanced
1HN7TM4T59,54,Medium,727,Experienced,High,Low,Growth,Short-term,4868038,2154586,0,24,2713452,Conservative
R0O3INMKNL,46,High,732,Novice,High,Medium,Preservation,Medium-term,4920986,2166836,4,11,2754150,Balanced
5EVH5MBU8L,18,High,754,Novice,Medium,Low,Income,Medium-term,5212851,2019660,3,18,3193191,Growth-oriented
SR5MHZU9M6,28,High,742,Experienced,High,Low,Speculation,Short-term,5101775,2271188,4,1,2830587,Conservative
G93K1CFEOU,31,Medium,761,Intermediate,Medium,Low,Income,Medium-term,4828261,1976427,4,8,2851834,Balanced
9WVP1795ZX,61,Medium,749,Experienced,Medium,High,Speculation,Medium-term,5241215,2130482,0,24,3110733,Balanced
6AIMY2YABP,20,Low,708,Intermediate,Medium,Medium,Income,Medium-term,4992953,2002911,4,18,2990042,Balanced
QTU6FRV3B0,55,High,705,Novice,High,Medium,Preservation,Long-term,4972307,1938777,4,27,3033530,Balanced
2LU4A7WX6J,25,High,659,Novice,High,Low,Speculation,Medium-term,5037030,2120653,2,24,2916377,Balanced
YDY05QBG43,41,Medium,794,Novice,Medium,Medium,Growth,Long-term,4961897,2090234,3,16,2871663,Balanced
1RYBBS5F1Z,48,Medium,669,Intermediate,High,Low,Income,Medium-term,4886013,2079483,3,16,2806530,Balanced
CP18N0U6QP,35,Medium,677,Novice,High,Medium,Preservation,Short-term,4777268,2011950,3,11,2765318,Balanced
HE00BL6N40,21,Low,725,Novice,Low,Medium,Growth,Medium-term,5057006,2032607,3,30,3024399,Growth
HHX6RVGC7O,65,Low,695,Novice,Medium,Medium,Growth,Long-term,4941019,2122938,1,1,2818081,Balanced
8GBNTURYRA,52,High,742,Intermediate,High,High,Growth,Medium-term,5015495,1986982,1,12,3028513,Aggressive
JECV8MM2W5,34,Medium,746,Novice,Medium,Medium,Speculation,Medium-term,4870281,1971265,3,29,2899016,Balanced
QYF3EWFTW8,69,High,690,Experienced,Medium,High,Growth,Medium-term,5203694,2001296,3,3,3202398,Growth-oriented
OSS407OGPG,36,Medium,827,Experienced,Medium,Medium,Speculation,Medium-term,4900496,1999628,4,19,2900868,Balanced
2XPBFKNDVA,68,Low,745,Intermediate,Low,Medium,Preservation,Short-term,4963476,1822868,1,29,3140608,Balanced
R70U1PBQQL,60,Medium,637,Novice,High,Low,Growth,Short-term,5084094,2092032,3,2,2992062,Conservative
V29I22OQN1,36,Low,723,Intermediate,Medium,High,Speculation,Short-term,5100041,2219854,1,38,2880187,Balanced
ZJ4HGT0G79,46,Medium,762,Experienced,Low,High,Preservation,Medium-term,4874880,2086450,2,7,2788430,Balanced
5XPOT3ZYYJ,53,Medium,730,Experienced,High,High,Speculation,Short-term,5059501,1950115,0,35,3109386,Aggressive
NWFKN8FPXS,44,High,679,Intermediate,High,Low,Income,Long-term,4950962,2072704,0,4,2878258,Balanced
PW2T0CIC2E,67,Low,684,Novice,Medium,Medium,Preservation,Medium-term,5249499,1824566,3,23,3424933,Balanced
HJ66K69R89,57,Low,703,Intermediate,Medium,Medium,Growth,Long-term,4983102,1952692,4,13,3030410,Preservation
1QKX5OCEUW,60,Medium,767,Novice,Medium,Low,Preservation,Short-term,5222254,1904229,0,17,3318025,Conservative
O7U3F9FTRK,64,High,766,Intermediate,Medium,High,Growth,Long-term,5212353,2145036,1,4,3067317,Growth-oriented
YHFVAOZ8H5,23,Medium,740,Intermediate,Medium,High,Preservation,Short-term,4832500,1774252,2,17,3058248,Balanced
Q5MTC78EX8,46,Medium,765,Intermediate,Medium,Medium,Income,Short-term,4990901,2026819,0,25,2964082,Conservative
IZ7TJ0S8BZ,61,Low,696,Intermediate,Medium,Medium,Growth,Long-term,5008192,1973525,4,7,3034667,Balanced
JSMHACY8WH,37,Medium,665,Intermediate,High,Low,Preservation,Long-term,5081682,2087977,2,0,2993705,Balanced
2UN51WMIC5,28,Low,742,Experienced,High,High,Income,Short-term,4820949,2030864,4,34,2790085,Aggressive
KW4ADWNMXI,28,Low,621,Experienced,High,Low,Preservation,Long-term,4755353,1866580,1,26,2888773,Balanced
L6DSOUOB0D,27,Medium,688,Novice,Medium,Low,Income,Long-term,5127742,2251812,2,33,2875930,Balanced
ER2Y4ZXXB7,45,Medium,638,Intermediate,Medium,Medium,Growth,Long-term,5078985,1824882,0,4,3254103,Balanced
22F4CRVYW8,53,High,724,Experienced,Low,High,Speculation,Long-term,5017698,1721070,2,22,3296628,Balanced
LGWSXA7AMU,29,High,614,Novice,High,Medium,Income,Short-term,4919976,1924960,3,27,2995016,Balanced
7HUCAJWU4R,50,Medium,644,Novice,High,Medium,Preservation,Long-term,5082617,2073370,0,8,3009247,Balanced
UTQ9QUTP7F,56,High,702,Intermediate,Low,Low,Income,Medium-term,5111503,1940775,1,39,3170728,Balanced
1OD9IBZ5DI,49,Low,675,Experienced,Medium,Medium,Preservation,Long-term,4890636,2038088,3,9,2852548,Balanced
H3Q8IY9EW7,69,Medium,787,Intermediate,Low,Low,Growth,Long-term,5003998,1955513,4,31,3048485,Balanced
7LDTOK4AO8,40,Medium,703,Novice,Medium,High,Speculation,Long-term,5037484,1938708,4,10,3098776,Balanced
VBM8SYLF67,45,Medium,616,Experienced,Low,Low,Preservation,Short-term,4925562,1918274,0,24,3007288,Conservative
AB2LVXE4DQ,39,Medium,751,Novice,High,High,Speculation,Long-term,5141629,1953315,2,3,3188314,Aggressive
ULNS2RE3KB,51,Medium,720,Intermediate,High,Medium,Speculation,Short-term,4914291,1887066,1,27,3027225,Balanced
B9ZMUU19OV,62,Low,652,Novice,High,High,Preservation,Short-term,4996799,2136785,0,35,2860014,Aggressive
8155RNVWTU,59,Medium,684,Experienced,High,High,Growth,Short-term,4882862,1944959,4,39,2937903,Aggressive
A1KQYRZQX7,69,High,698,Intermediate,Low,High,Preservation,Short-term,4946174,1978157,1,30,2968017,Balanced
MRQQHIFKXL,61,High,583,Experienced,High,Medium,Income,Long-term,5251492,2109180,3,5,3142312,Balanced
S2SADZE3TZ,53,High,635,Experienced,Low,Medium,Speculation,Short-term,4900816,2013868,3,23,2886948,Balanced
BJ6HTLOXY3,59,High,705,Novice,High,Low,Growth,Medium-term,4833779,1811264,2,7,3022515,Balanced
U8ZTME7XD4,41,High,614,Experienced,Low,Low,Preservation,Medium-term,5112292,2039966,4,0,3072326,Balanced
8TU3E59VQX,58,Medium,657,Novice,High,Low,Growth,Long-term,4804964,1799855,3,36,3005109,Balanced
FBKNGM7YMI,41,High,689,Intermediate,Low,High,Growth,Medium-term,4997741,2000422,4,8,2997319,Balanced
PNTVF6AVDJ,26,Low,566,Experienced,Medium,Low,Preservation,Medium-term,5079091,2115388,4,38,2963703,Balanced
TI89A6N5E5,59,Medium,693,Intermediate,Low,High,Growth,Short-term,5107971,2068304,2,6,3039667,Growth-oriented
DEYYQ73V5J,63,Low,793,Novice,Medium,Low,Income,Short-term,4738894,2007912,1,39,2730982,Conservative
8J776EW7E3,65,Medium,721,Intermediate,Medium,Medium,Preservation,Long-term,4866561,2084200,0,14,2782361,Balanced
Q25XLJC3HF,33,Medium,650,Experienced,Medium,Medium,Growth,Short-term,4855965,2111038,3,14,2744927,Growth
S2V42BKPTR,54,Low,737,Intermediate,Medium,Low,Speculation,Long-term,4814136,1934723,4,16,2879413,Balanced
UDIIOOLM33,19,High,669,Experienced,Low,Medium,Preservation,Short-term,4784643,1973010,4,39,2811633,Balanced
RCFPWMJL44,48,High,668,Experienced,High,High,Growth,Medium-term,5286114,2111379,1,14,3174735,Aggressive
H0AEGOQDQX,55,High,683,Experienced,High,Low,Speculation,Medium-term,4886743,2024216,0,24,2862527,Balanced
NU5485DA6W,60,Low,611,Novice,Low,Low,Preservation,Long-term,4898276,1873856,3,9,3024420,Balanced
83558LDVW3,18,Medium,707,Novice,Low,High,Income,Short-term,5064707,2099396,2,10,2965311,Balanced
Y93N6EJXY9,37,High,727,Experienced,Medium,Medium,Income,Short-term,4869058,2028130,2,32,2840928,Balanced
OL9JR62TLF,24,High,779,Experienced,Medium,Low,Speculation,Long-term,4980406,2214561,2,37,2765845,Growth-oriented
JG985DPIZO,47,High,700,Intermediate,High,Medium,Growth,Long-term,4843339,1827172,1,36,3016167,Balanced
G5TNOUM3ID,21,Medium,754,Intermediate,Low,Low,Growth,Long-term,4952374,1926568,4,5,3025806,Balanced
LSLBD2HSL5,49,High,748,Novice,Low,High,Preservation,Medium-term,4985085,2049883,4,17,2935202,Balanced
WDW3IKV5ZB,47,High,680,Intermediate,High,Low,Preservation,Medium-term,4816743,2160612,1,25,2656131,Balanced
OORKWR8X7Q,34,Low,631,Novice,High,High,Speculation,Short-term,4543915,1932190,2,11,2611725,Aggressive
OUHV4R4WSO,21,Medium,638,Novice,High,Medium,Speculation,Short-term,4688231,2033036,2,36,2655195,Balanced
0AEMUI9LGC,44,Medium,766,Experienced,Low,High,Speculation,Short-term,4952632,2010817,4,1,2941815,Preservation
E832QEHOSX,24,Low,612,Novice,High,Low,Preservation,Medium-term,4963239,1952130,2,16,3011109,Balanced
JDDV6GS2V4,59,Low,677,Novice,High,Low,Growth,Long-term,5018330,2003607,4,32,3014723,Balanced
L7XAV2EZJ3,55,High,689,Experienced,Medium,High,Growth,Long-term,5103853,2062932,0,27,3040921,Balanced
97E966Q6A8,29,Low,714,Experienced,Medium,Medium,Preservation,Long-term,5065515,2103789,4,4,2961726,Balanced
TSB0QAYMNS,35,Medium,624,Novice,Low,Medium,Income,Medium-term,5306803,1884466,3,10,3422337,Balanced
3U91XY1WFU,61,Low,697,Intermediate,High,Medium,Speculation,Short-term,4979307,1871422,0,2,3107885,Balanced
65UW489CB0,21,Medium,647,Intermediate,Low,Medium,Growth,Long-term,4963190,1926626,4,32,3036564,Balanced
RS9J6PP7OW,38,Low,745,Novice,Medium,Low,Income,Medium-term,5297071,1973819,3,10,3323252,Balanced
39RUWN7A4C,45,High,674,Intermediate,Low,Medium,Speculation,Medium-term,5124358,1983155,2,26,3141203,Balanced
QLPATMFG6H,46,Low,732,Novice,Medium,Low,Growth,Short-term,5264401,1945268,0,33,3319133,Conservative
X6H5VINETJ,32,High,763,Novice,Low,Low,Growth,Long-term,5150367,2044036,3,36,3106331,Growth-oriented
ZLSDPY6IQ8,32,Medium,701,Intermediate,Medium,Low,Growth,Medium-term,5008752,1980865,2,10,3027887,Balanced
RAKVCKMOEO,34,Medium,651,Experienced,Low,High,Income,Medium-term,5073057,1907668,0,1,3165389,Balanced
KB4PPXP5DB,53,Low,743,Experienced,Medium,Low,Growth,Long-term,4919447,2097234,4,26,2822213,Balanced
YAHWWXB97A,56,Low,763,Experienced,Medium,Low,Speculation,Long-term,4953659,1890015,3,23,3063644,Balanced
MF7WRNCBQG,61,Low,657,Intermediate,High,Low,Preservation,Medium-term,5187654,2096430,3,38,3091224,Balanced
CRJK7IES8D,45,High,663,Experienced,High,Low,Growth,Short-term,5052701,2161890,2,29,2890811,Conservative
M4AM73COSG,56,Medium,657,Experienced,Low,Medium,Growth,Long-term,4857148,2104718,0,16,2752430,Balanced
X9I7F64XWD,41,High,714,Intermediate,High,High,Preservation,Short-term,5161977,2057612,1,7,3104365,Aggressive
Q2X639Y9N3,38,Low,629,Novice,Medium,Medium,Speculation,Long-term,4761279,2123689,1,33,2637590,Balanced
AVSAP3DJX3,41,Low,578,Novice,Medium,High,Income,Medium-term,4794484,2202534,0,21,2591950,Balanced
FIO4NCHGLM,52,Low,687,Novice,High,Low,Speculation,Medium-term,4775138,1973520,1,25,2801618,Growth-oriented
KS2UN5EGCG,50,Low,691,Intermediate,Medium,Medium,Income,Medium-term,5141487,2255666,0,26,2885821,Balanced
NYBBAHG4LM,19,Medium,703,Intermediate,Medium,Medium,Speculation,Medium-term,4876985,2061685,2,9,2815300,Balanced
X90HVMOP2D,40,Low,742,Experienced,High,High,Preservation,Medium-term,4880482,2046889,0,39,2833593,Aggressive
2705PGTRGV,39,Medium,683,Novice,Medium,High,Speculation,Medium-term,4980270,1788365,2,26,3191905,Balanced
NWRKCYE6DR,22,High,697,Intermediate,High,Low,Speculation,Short-term,5029886,2052762,3,13,2977124,Conservative
WPLZ3MNLZK,63,High,743,Experienced,High,High,Preservation,Medium-term,4786440,1783000,3,15,3003440,Aggressive
E1VEUS4VY6,58,High,595,Intermediate,High,Medium,Growth,Long-term,4839270,2058599,2,27,2780671,Preservation
YNYBYHK86J,57,Medium,797,Intermediate,High,High,Growth,Short-term,4952711,1774413,3,10,3178298,Aggressive
0TH67MGCQI,42,Medium,675,Intermediate,Low,Low,Speculation,Short-term,5093684,1958510,0,7,3135174,Conservative
SNAN2A38UX,40,High,748,Experienced,High,Low,Preservation,Medium-term,4914617,1903830,0,35,3010787,Balanced
RGZGWIASOT,35,Medium,691,Experienced,Medium,Low,Growth,Short-term,5100228,1885663,4,33,3214565,Conservative
CFBQ1JDA1Z,44,Medium,647,Experienced,Medium,High,Speculation,Medium-term,5160189,1959514,4,36,3200675,Balanced
5ZGBBU1DCQ,26,High,649,Intermediate,High,High,Preservation,Short-term,4988809,2026798,3,14,2962011,Aggressive
0HXD28P6V3,23,High,650,Novice,Medium,High,Growth,Medium-term,4820692,2205484,4,36,2615208,Balanced
TVGVZIJ5IW,51,High,658,Experienced,Low,Low,Growth,Medium-term,5016826,1931127,0,13,3085699,Balanced
2MCKKT7QW6,40,High,766,Novice,Low,Low,Growth,Long-term,5147812,1976053,3,7,3171759,Growth-oriented
IEJ5QT9TTB,36,Medium,684,Intermediate,Medium,Low,Income,Long-term,5025749,1934164,1,22,3091585,Balanced
LF5WDAHVVW,28,Low,681,Novice,High,Medium,Preservation,Long-term,5107402,1908472,2,26,3198930,Balanced
S70RTLWNA8,47,Medium,641,Intermediate,Medium,High,Income,Long-term,5127865,1970811,1,23,3157054,Aggressive
KUUO5F4OMX,29,Low,701,Novice,High,Low,Preservation,Long-term,5289222,2031043,3,14,3258179,Balanced
S4HBYZSR9C,48,High,702,Intermediate,Medium,Low,Preservation,Medium-term,4841725,2023534,0,19,2818191,Balanced
HYYKTMVJAE,25,Low,728,Experienced,Low,High,Preservation,Long-term,4994541,1898503,2,22,3096038,Balanced
9TAGUMFPTZ,48,High,628,Intermediate,High,Medium,Income,Medium-term,5132977,2044812,1,30,3088165,Aggressive
WP8YOEYM92,60,Low,668,Experienced,Medium,Medium,Income,Long-term,4707089,1932692,0,0,2774397,Balanced
00205E4JKR,39,High,728,Novice,Low,High,Speculation,Long-term,4775140,1988211,0,12,2786929,Growth-oriented
TTSGSUDV15,25,Medium,663,Intermediate,Low,High,Income,Long-term,5160265,1832216,0,32,3328049,Balanced
YM23FWETO8,43,High,724,Experienced,Low,Medium,Income,Long-term,4906387,2057887,4,5,2848500,Balanced
9GGVASVGPQ,62,Medium,658,Intermediate,Low,Low,Speculation,Long-term,4949973,2075970,2,26,2874003,Balanced
DFTPF81M4V,37,Low,655,Novice,High,Low,Income,Long-term,5014609,1972438,2,12,3042171,Balanced
0GHI235FVJ,43,Medium,679,Novice,Medium,Medium,Speculation,Long-term,4972218,1967824,2,37,3004394,Balanced
W7MIG11HUV,63,High,709,Intermediate,Low,Medium,Income,Long-term,5080524,1878811,0,30,3201713,Balanced
O2L50SP7P4,60,Medium,762,Novice,High,Low,Growth,Medium-term,4788959,2121449,3,3,2667510,Balanced
M4SV2WA1GY,21,High,785,Experienced,Medium,Low,Preservation,Medium-term,5320470,1952097,3,19,3368373,Growth-oriented
7YAN3FPXAH,38,Medium,733,Intermediate,Medium,High,Speculation,Short-term,4880670,2129865,1,7,2750805,Balanced
CSEM3MT0UB,67,Medium,747,Intermediate,Medium,High,Speculation,Medium-term,5120800,1891448,1,13,3229352,Balanced
5LPW88VX6M,37,Medium,730,Novice,Medium,Low,Speculation,Short-term,4968350,1970655,0,4,2997695,Conservative
HLZSJHV44V,55,High,706,Intermediate,High,High,Preservation,Short-term,4958450,2234566,0,10,2723884,Aggressive
WSKYKN2CA2,51,Low,705,Intermediate,Medium,Low,Preservation,Medium-term,5145911,2259909,4,4,2886002,Balanced
DADM1MT3UL,62,Low,719,Experienced,Low,Low,Growth,Long-term,4867122,1919581,0,30,2947541,Balanced
ER1KZ4ARAQ,43,Low,726,Intermediate,Medium,High,Preservation,Medium-term,5033667,1967796,2,34,3065871,Balanced
P6YCMPIHZO,25,High,775,Experienced,Low,High,Income,Short-term,5226013,2056566,2,24,3169447,Growth-oriented
TISW7JN7BQ,55,High,666,Intermediate,High,High,Speculation,Long-term,5137573,1831749,1,33,3305824,Aggressive
6X7B6WT08P,38,Medium,761,Intermediate,Medium,High,Speculation,Long-term,5005535,1978290,3,12,3027245,Balanced
85PF3NWTWK,52,High,716,Intermediate,High,Medium,Preservation,Medium-term,5037331,2149765,3,36,2887566,Balanced
IQHSZSBNT6,34,Medium,603,Intermediate,Low,Medium,Speculation,Short-term,4938551,1866229,4,31,3072322,Balanced
CSPUNV5VZ7,63,Low,673,Novice,High,Medium,Income,Long-term,5024483,2009345,1,36,3015138,Balanced
6TIBPXQZAD,58,Medium,719,Novice,High,High,Preservation,Long-term,4971450,2011013,4,3,2960437,Aggressive
6JVLHXM2N6,57,High,690,Experienced,High,Low,Income,Medium-term,4990636,1995122,2,7,2995514,Balanced
VKP0GW42DV,51,Medium,804,Intermediate,Medium,Low,Preservation,Short-term,4780791,1973371,4,36,2807420,Conservative
TJUTCLXQNX,51,Low,667,Novice,High,Low,Preservation,Medium-term,5047886,2130925,4,37,2916961,Balanced
D474N5WWFN,19,High,652,Experienced,High,Medium,Speculation,Short-term,5157814,2089880,0,15,3067934,Balanced
OXW5PGPS12,27,Low,694,Experienced,High,Medium,Income,Short-term,5023714,2053884,3,23,2969830,Balanced
77QD1O2WZI,41,Medium,764,Experienced,High,High,Speculation,Long-term,5128531,2099284,2,5,3029247,Aggressive
QGRFTCH4WM,22,High,654,Experienced,Low,High,Income,Long-term,5005456,1973577,3,25,3031879,Balanced
G2H7Z8WUU2,42,Medium,695,Novice,High,Medium,Speculation,Long-term,5002076,1975703,2,17,3026373,Balanced
NRXB3S2OPW,24,Medium,738,Experienced,Low,High,Speculation,Medium-term,5264869,2014163,3,15,3250706,Balanced
CMVM0E9APZ,51,Low,703,Novice,Low,Low,Income,Long-term,5008238,2048930,2,2,2959308,Balanced
A50LMTD84G,68,High,654,Experienced,High,High,Preservation,Medium-term,5138925,1782661,2,8,3356264,Aggressive
RHDM820WXB,42,Medium,668,Experienced,Low,High,Growth,Medium-term,4958076,1917739,4,6,3040337,Balanced
A4PIB8M4A0,28,Medium,685,Intermediate,Medium,High,Preservation,Medium-term,5042448,2200606,4,38,2841842,Balanced
0Y42PQ8MTM,47,High,723,Novice,Medium,Medium,Preservation,Short-term,5521167,1968218,2,18,3552949,Balanced
LWDKVK0QZL,65,Low,685,Intermediate,Medium,Low,Growth,Short-term,5093612,2069946,1,34,3023666,Conservative
4UNGOEOWIY,46,Medium,752,Experienced,Medium,Low,Income,Short-term,5007713,2143679,1,20,2864034,Conservative
NPJQRQXNZK,42,High,688,Experienced,Medium,Medium,Speculation,Long-term,5049333,1927552,0,8,3121781,Balanced
8BK55GQAA1,21,High,604,Intermediate,High,Low,Growth,Short-term,4860403,1752808,1,26,3107595,Conservative
HKRDZ8CFDN,36,Low,746,Novice,Medium,High,Growth,Medium-term,4838832,1976612,3,6,2862220,Balanced
KCQVORFZ47,39,High,709,Novice,Low,Medium,Preservation,Medium-term,4889721,2136512,2,34,2753209,Balanced
1H18CND7DE,24,Medium,753,Intermediate,Low,Medium,Speculation,Short-term,4655960,1948278,1,28,2707682,Balanced
G3E274WAK2,38,Medium,632,Novice,High,High,Income,Long-term,5113178,2024610,2,3,3088568,Aggressive
MCY0AIQ38F,39,Medium,777,Novice,High,Medium,Growth,Medium-term,4834703,2078515,1,11,2756188,Balanced
